name,design_phase,x,y,z,epsilon_med,exact_slope_ratio,six_param_max_error_pct,six_param_rms_error_pct,four_param_max_error_pct,four_param_rms_error_pct,a0_wall,a1_wall,hQ6,hu06,a06,a16,hd06,hd16,hQ4,hu04,hd04,hd14
axis_z_p2p0pct,phase1_axis,0.0,0.0,0.02,0.047619047619047616,0.04794885941860539,0.09233190224586796,0.048546450435948366,0.3175181748940492,0.19563731969469822,0.2635365830624751,0.24254358305716694,2.7897483238494614,2.9504539740632447,0.2612704832981391,0.24252941636460096,2.6930281839819705,-0.6653951616424878,2.7802318187490322,2.968072266556175,2.7024955891898754,-0.6667569598064726
pair_xm1p5_ym1p5,phase2_interaction,-0.015,-0.015,0.0,0.047619047619047616,0.048770232173508204,0.28009639336423753,0.14835418436049103,2.3892455421525627,1.1265185622396885,0.2596130344970385,0.24848877267094882,2.752858269666378,2.9042249790054213,0.26123719638154647,0.2441436537832332,2.655060101696299,-0.6610935353469959,2.717052679385525,2.8462593986463376,2.6131741488304128,-0.6619215596837462
pair_xm1p5_yp1p5,phase2_interaction,-0.015,0.015,0.0,0.047619047619047616,0.04772236450996991,0.03237068429123857,0.01688412706427902,2.6585249784965903,1.2491349936970233,0.26751942847090415,0.23760605269995824,2.8393537898829675,3.000205882029267,0.26458266998193203,0.24190149106086928,2.7270884714036288,-0.6714453676969961,2.8846836080210205,3.061629081858931,2.7694528991758047,-0.6701847431237563
pair_xm1p5_zm1p5,phase2_interaction,-0.015,0.0,-0.015,0.047619047619047616,0.048161917530147126,0.14987640354048315,0.07885335747652147,0.8903575225367222,0.4608472769867218,0.26353658306247524,0.24415583786768413,2.797264668154872,2.950264393386661,0.26259031752284784,0.24271520410834102,2.6895073811851677,-0.6652555806100526,2.7767751031638896,2.943378455419674,2.6823756291224528,-0.6665610162374727
pair_xm1p5_zp1p5,phase2_interaction,-0.015,0.0,0.015,0.047619047619047616,0.04815453003279597,0.14967812934456592,0.07862968740734483,0.5885340152163354,0.31015333111723575,0.26353658306247524,0.24193898750322324,2.7930622383776647,2.953229161823304,0.26294674962276876,0.24303356234587517,2.6920351995815897,-0.6664770025209149,2.8033276869007575,2.968517027505432,2.702823806534233,-0.666224087318883
pair_xp1p5_ym1p5,phase2_interaction,0.015,-0.015,0.0,0.047619047619047616,0.04833640465988063,0.17435332689353933,0.09253617777689273,3.910511959314511,2.0118200861124165,0.2596130344970384,0.2504033252584377,2.7480392715384943,2.8980926218015055,0.2579351797701895,0.2431201668442629,2.656221836037134,-0.6587858314881789,2.6678732162509142,2.833954369759454,2.603405250876338,-0.6624827831907374
pair_xp1p5_yp1p5,phase2_interaction,0.015,0.015,0.0,0.047619047619047616,0.04733860437097145,0.08768179031937162,0.04583161056224291,0.792563107815436,0.5090426211384567,0.2675194284709041,0.23941983936179032,2.8341843483154086,2.993388821550437,0.2609958871513726,0.2407119261188916,2.7282143371694536,-0.6686601393141611,2.8262404568106585,3.058679044022601,2.7668015255916374,-0.672076643054598
pair_xp1p5_zm1p5,phase2_interaction,0.015,0.0,-0.015,0.047619047619047616,0.04775455851714868,0.03736520764326956,0.019698412216701756,2.4493674321092174,1.3921832550185596,0.2635365830624752,0.24586885860385815,2.7924320157261557,2.944070135585015,0.2591650118052502,0.24161598363050282,2.6908650829194807,-0.6627794220449584,2.724420779156417,2.9364318515946026,2.6766478015271007,-0.6675745709313968
pair_xp1p5_zp1p5,phase2_interaction,0.015,0.0,0.015,0.047619047619047616,0.0477514241756871,0.036935692332173975,0.019441901714118033,1.1082463745609505,0.731795364896724,0.2635365830624752,0.2437527741650544,2.7879628973587405,2.946574071481818,0.25949753100045436,0.2419220790831273,2.6930138612618912,-0.6638799295796284,2.749554315530952,2.9604509928547995,2.6962153784226097,-0.667290562516882
pair_ym1p5_zm1p5,phase2_interaction,0.0,-0.015,-0.015,0.047619047619047616,0.048566869460577027,0.22875873347243392,0.12138116038735952,3.779772457783248,1.886230776914846,0.2596130344970384,0.25050409118409517,2.7525999290067134,2.899824156458224,0.2594279204010216,0.2434799560638231,2.654473170671181,-0.6593747520035877,2.6824505714709534,2.826825537877526,2.5975935129359895,-0.6620993459245266
pair_ym1p5_zp1p5,phase2_interaction,0.0,-0.015,0.015,0.047619047619047616,0.04854268259887813,0.22613787754459658,0.1197657171523366,2.54258678848982,1.2486962393988004,0.2596130344970384,0.24838800674529138,2.748383985358278,2.9022735950024723,0.2597140177424464,0.24377227811578386,2.65667090502695,-0.6604555430306478,2.7027564046074577,2.8528633686116844,2.618576965325435,-0.6622201846282313
pair_yp1p5_zm1p5,phase2_interaction,0.0,0.015,-0.015,0.047619047619047616,0.04752678178192945,0.028705892330305183,0.01500285485161261,0.912916300510902,0.4704149266775982,0.26751942847090415,0.2396213712131049,2.83891795304566,2.9950493729219563,0.2625686297354971,0.24113208875096187,2.7262333617212358,-0.6693732708024714,2.8399219691473383,3.049112224006801,2.7590387136214076,-0.6715784200578244
pair_yp1p5_zp1p5,phase2_interaction,0.0,0.015,0.015,0.047619047619047616,0.04753467396839888,0.026542792239281354,0.01384609882755736,2.44619481865076,1.1236783167838813,0.26751942847090415,0.2375052867743011,2.8346905436509906,2.998306096858182,0.26297166172098096,0.24146510927358533,2.7289270333292377,-0.6706712300642104,2.8699660779489307,3.0701126254753555,2.7763746981443203,-0.6707194996158291
validation_01,phase2_validation,-0.0166906968976708,-0.0177588310503958,-0.0167414382814477,0.047619047619047616,0.04894895441670665,0.3127992562486859,0.1660250105828019,3.4141156801126726,1.6287112268296655,0.2588977930651668,0.25070562303541005,2.747714541638015,2.894448020069922,0.2610151982857808,0.24430730872994788,2.647161339381496,-0.6598067164934184,2.6963253505692926,2.8104661135095497,2.586115230219257,-0.660989615637525
validation_02,phase2_validation,-0.0122683900042898,0.010103876561482,0.0044575806308353,0.047619047619047616,0.04781165056608975,0.05819406610259037,0.03043348560479516,1.6783955030178266,0.7881073506130984,0.26621282159135945,0.23931907343613287,2.823662641826851,2.9842662194004137,0.26369252810816485,0.24213187359099664,2.7157863918299534,-0.6695108651837176,2.8494874790975793,3.030200136491918,2.746847404048727,-0.6692337803863292
validation_03,phase2_validation,-0.0022073971764227,0.017230356477012,-0.0037629185249522,0.047619047619047616,0.0475047802253743,0.03633922476689033,0.018949628229414418,2.123155307606839,0.9713293670006345,0.26811675804224255,0.23780758455127282,2.844348032737889,3.0040733141559257,0.2632718848619507,0.24122144238199453,2.732638995876717,-0.6709553568006822,2.872148153066668,3.073475017872574,2.7776447906469497,-0.671604859255616
validation_04,phase2_validation,0.010999625234478,0.0019447359453563,-0.0136949715867342,0.047619047619047616,0.04774864157464862,0.03629568433036745,0.01911383042814886,1.905635047244103,1.1178988407764268,0.2640495907990832,0.24486119934728529,2.7985947880297717,2.9509555066193247,0.25982034935904014,0.2416134279034917,2.695262451278403,-0.6637492640360058,2.7424272892250827,2.9526264485121843,2.688559507551092,-0.6680463877026931
validation_05,phase2_validation,0.0195131290489759,0.0096082345211527,0.0162620183224917,0.047619047619047616,0.04741623416941774,0.06116811915866105,0.032043278851095834,0.7126301617123687,0.44121271131352946,0.2660809080189607,0.2405282645440206,2.8151071869651676,2.9766929448062567,0.2600444564274982,0.24106149482982314,2.716688306024145,-0.6669278728050325,2.7978678455289403,3.030744355043776,2.7474297716904634,-0.6704716268622443
validation_06,phase2_validation,0.0074415802694216,-0.0109447115094505,0.0086197077368819,0.047619047619047616,0.048262218533131895,0.1627607292646882,0.08616003401910939,2.6361442873138463,1.3538682603872432,0.26066797785191,0.24778341119134736,2.7594024654978098,2.913069409811304,0.2592009832295994,0.2430666514615158,2.666191578909258,-0.660842603910798,2.7037333592483006,2.87519872606971,2.634073873858368,-0.6636400639831771
validation_07,phase2_validation,-0.0096297463073575,-0.0069259474504271,-0.0097270843377641,0.047619047619047616,0.04834740572678355,0.18971419329483208,0.10015042645276337,1.9839446674878136,0.9831314127969072,0.261717648729716,0.24657422008345992,2.7760921736572435,2.9276939873308425,0.26130494652076924,0.24312545525576532,2.673677370181537,-0.6627510929173551,2.7371952779516677,2.89547321094509,2.647888057880598,-0.6645261736256007
validation_08,phase2_validation,0.0042447431931197,-0.0008398559478993,0.010928888105964,0.047619047619047616,0.04792384266273955,0.08434185447013798,0.04439605608234075,0.8747364586721984,0.5453034756964517,0.263315343213507,0.2437527741650547,2.787963477268311,2.9458156820546733,0.2605831925075029,0.2423380293165013,2.6902718184273096,-0.6643480661234302,2.760167177848043,2.9532398053847855,2.6909206030421955,-0.6667164884481906
