name,design_phase,x,y,z,success,nfev,cost,max_error_pct,rms_error_pct,h_Q,h_u0,h_u1,a_d0,a_d1,h_d0,h_d1,err_ct,err_ut,err_sb,err_db,err_Vus,err_Vcb,err_Vub
pair_xm1p5_zp1p5,phase2_interaction,-0.015,0.0,0.015,True,6,1.2400199332892503e-22,1.1082246231808313e-09,4.2088710383169807e-10,2.7924612768283406,2.894580926314089,-0.031658777044257846,0.26069883632256313,0.2429804718856713,2.6481230206429776,-0.6574413045397053,-1.9118040484045196e-11,1.1082246231808313e-09,8.992806499463768e-12,4.487521465534883e-11,5.586642259913788e-11,-7.271960811294775e-12,-7.890355036010988e-11
pair_xp1p5_ym1p5,phase2_interaction,0.015,-0.015,0.0,True,10,2.135195969673443e-22,1.4552137272971777e-09,5.522932696250403e-10,2.7483649436368887,2.8229663772803115,-0.03130572607192265,0.25548882333749917,0.243326494818067,2.5991691707402778,-0.6476635217742301,3.61710661422876e-11,1.4552137272971777e-09,9.303668946358812e-12,-2.036149027162537e-11,-4.9260595602618196e-11,-6.4503957730721595e-12,1.1519674103510624e-10
pair_xp1p5_yp1p5,phase2_interaction,0.015,0.015,0.0,True,10,7.400396473402502e-23,8.592238032179011e-10,3.251460714933022e-10,2.835088435625545,3.025724357266934,-0.03189485449789033,0.2623564691776769,0.24082874798304943,2.752238843856214,-0.6737599243092298,2.6401103525586223e-11,-8.592238032179011e-10,-1.4876988529977098e-12,-2.057243264630415e-11,1.0236256287043943e-11,2.55351295663786e-12,2.3248070135650778e-11
pair_xp1p5_zm1p5,phase2_interaction,0.015,0.0,-0.015,True,7,1.479545811937165e-22,1.2154721673596214e-09,4.59743118507319e-10,2.79225226364253,2.9291712004157895,-0.03154212202174823,0.25861031462830747,0.24160935205515066,2.6796666509611335,-0.6605049444739691,2.808864252301646e-11,1.2154721673596214e-09,1.7763568394002505e-12,1.2523315717771766e-11,9.325873406851315e-12,-7.771561172376096e-14,-3.3728575488112256e-11
pair_xp1p5_zp1p5,phase2_interaction,0.015,0.0,0.015,True,8,7.741051671194386e-23,8.690048680648488e-10,3.3254520881157423e-10,2.78778398442291,2.9319881081406547,-0.031594420109919,0.2589485705571295,0.24191155530651762,2.6820587696880915,-0.6616435144149162,-7.560618797697316e-12,-8.690048680648488e-10,9.969802761133906e-12,-1.5420997812043424e-11,4.54081217071689e-11,-4.274358644806853e-12,-1.282973727256831e-10
pair_ym1p5_zm1p5,phase2_interaction,0.0,-0.015,-0.015,True,7,3.443106530955453e-24,1.701971896750365e-10,7.013314938316117e-11,2.75315655369424,2.801067471700064,-0.03131384767479925,0.25620786972882253,0.24376189373458282,2.579549654401668,-0.6447573834302303,6.0396132539608516e-12,-1.701971896750365e-10,-7.4495964952348e-12,8.482103908136196e-12,-1.2601031329495527e-11,5.062616992290714e-12,7.152056724635258e-11
pair_ym1p5_zp1p5,phase2_interaction,0.0,-0.015,0.015,True,10,9.682279603154795e-24,3.1042945991544e-10,1.1760869180209933e-10,2.7488947672776685,2.805791723237104,-0.031363539676776395,0.2565254517884969,0.24401625593828205,2.5835251060369795,-0.6461023165106483,6.661338147750939e-14,-3.1042945991544e-10,-4.907185768843192e-12,-2.864375403532904e-12,6.17284001691587e-12,5.773159728050814e-12,-1.8773871346411397e-11
pair_yp1p5_zm1p5,phase2_interaction,0.0,0.015,-0.015,True,9,2.4708461942500757e-22,1.4388490399142029e-09,5.94119525919623e-10,2.8392016993714724,3.005647523441142,-0.03189260469453465,0.2630164042037411,0.24116996593316423,2.734097751730399,-0.6710449035002987,-4.1517900228882354e-10,1.4388490399142029e-09,-1.7266188478970435e-10,9.43245481721533e-11,-4.0641934262453105e-10,1.2294609774698984e-10,9.583445148564351e-11
pair_yp1p5_zp1p5,phase2_interaction,0.0,0.015,0.015,True,6,5.075638889103585e-23,4.39603908830577e-10,2.692745864744859e-10,2.834952424221914,3.0080165874308844,-0.03195325160129914,0.2633856643452297,0.24150240198366013,2.7361272041071643,-0.6722093354956357,-4.39603908830577e-10,3.100630863173137e-10,-1.8098855747439302e-10,1.1104450692300816e-10,-3.938072090647893e-10,1.341149413747189e-10,-3.497202527569243e-12
validation_01,phase2_validation,-0.0166906968976708,-0.0177588310503958,-0.0167414382814477,True,8,1.355305092801996e-23,3.6206593279075605e-10,1.3914547577494515e-10,2.749055500998623,2.7577943577819095,-0.03131055855413869,0.2566453847910942,0.2447789742290202,2.543447410694863,-0.6396573517707677,-6.217248937900877e-13,-3.6206593279075605e-10,1.1013412404281553e-11,-6.94999613415348e-12,1.2012613126444194e-11,-4.207745263329343e-12,-6.408207298136404e-11
validation_02,phase2_validation,-0.0122683900042898,0.010103876561482,0.0044575806308353,True,10,4.017199046304107e-23,6.312617095716178e-10,2.3955924890967185e-10,2.823202764923978,2.9624858072998963,-0.03184695851553801,0.2627922628976206,0.2420691155765398,2.699594467530201,-0.6660920118521353,-4.463096558993129e-12,-6.312617095716178e-10,-3.907985046680551e-12,6.084022174945858e-12,1.2079226507921703e-11,1.7319479184152442e-12,5.484501741648273e-11
validation_03,phase2_validation,-0.0022073971764227,0.017230356477012,-0.0037629185249522,True,8,3.4788762228521687e-25,5.0892623448817176e-11,2.2292991614531786e-11,2.8447328213184546,3.01729261428585,-0.03197327648589553,0.2638422760419311,0.2412760918264389,2.7424259805318054,-0.6730538765616103,8.704148513061227e-12,5.0892623448817176e-11,-8.615330671091215e-12,-2.2304380564719395e-11,-4.729550084903167e-12,5.395683899678261e-12,-1.3777867735598193e-11
validation_04,phase2_validation,0.010999625234478,0.0019447359453563,-0.0136949715867342,True,7,6.201456022675889e-24,2.4449331448295197e-10,9.412360801263444e-11,2.7983993823957873,2.936632547924244,-0.03158824701811683,0.2592773057034119,0.24160109166351898,2.6845162278747443,-0.6615527892816133,-4.773959005888173e-12,2.4449331448295197e-10,1.8207657603852567e-12,-5.795364188543317e-12,-1.5543122344752192e-12,3.1086244689504383e-12,-4.654054919228656e-11
validation_05,phase2_validation,0.0195131290489759,0.0096082345211527,0.0162620183224917,True,10,3.103905551994327e-22,1.089195400538756e-09,6.658945351136602e-10,2.8156325290086777,2.999741604231538,-0.03179401451950421,0.26097859039617954,0.2411229987294756,2.7338843754865425,-0.6705301480903038,1.089195400538756e-09,8.023137709756156e-10,4.1964209884781667e-10,-2.506106433486366e-10,9.63984447821531e-10,-3.167577311558034e-10,-7.313039063205906e-11
validation_06,phase2_validation,0.0074415802694216,-0.0109447115094505,0.0086197077368819,True,8,2.111359288290774e-23,4.5847770024920464e-10,1.736728674039869e-10,2.7594267723013823,2.844843619830967,-0.031400602622936355,0.2568700279872692,0.24318278392262843,2.6145731764100257,-0.6506249314125471,-1.0447198661722723e-11,4.5847770024920464e-10,-1.3600232051658168e-11,1.816324868286756e-11,1.2745360322696797e-11,1.1968204205459188e-11,-2.0872192862952943e-12
validation_07,phase2_validation,-0.0096297463073575,-0.0069259474504271,-0.0097270843377641,True,8,6.514935912870042e-23,8.048672839322535e-10,3.0507448628723746e-10,2.775876396045961,2.8498187246006887,-0.03147349755231799,0.2585355908436394,0.24319558521744472,2.6149963668548755,-0.6509862748412616,1.9961809982760315e-11,-8.048672839322535e-10,-1.971756091734278e-11,-1.8540724511240114e-11,3.89910326248355e-11,1.3788969965844444e-11,-2.8987923172962837e-11
validation_08,phase2_validation,0.0042447431931197,-0.0008398559478993,0.010928888105964,True,9,2.0547519949522474e-22,1.431266216656013e-09,5.417895242184117e-10,2.7876115064449825,2.912406376395668,-0.031592788686628924,0.2593286010628071,0.2423191062547037,2.665188333954333,-0.6592290378081904,1.6187051699034782e-11,-1.431266216656013e-09,-6.23945339839338e-12,9.703349235223868e-12,4.944933351680447e-11,3.885780586188048e-12,-5.807576641814194e-11
