N_eff,threshold_ratio_kAdj_over_k0,threshold_mismatch_pct,max_error_pct,rms_error_pct,h_d0,h_d1,a_d0,a_d1,error_ct_pct,error_ut_pct,error_sb_pct,error_db_pct,error_Vus_pct,error_Vcb_pct,error_Vub_pct
21.57,1.0271428571428571,2.7142857142857135,1.9370841336241118,0.992966911219356,2.7305703456743564,-0.6778800109565132,0.2585878267575605,0.24317872942731214,-1.9370841336241118,-0.10523377751878726,1.3345770380730038,0.4176400606413111,1.0069754070433312,-0.41107957225564595,0.002990459204310625
21.58,1.0276190476190474,2.761904761904743,1.9600770667448364,1.0058388074852307,2.7313739527029535,-0.678149657088647,0.25854201244804104,0.24320352240256274,-1.9600770667448364,-0.10714257318132914,1.3553813657708025,0.4276803698557652,1.0167010854590597,-0.418227627816381,-0.005976341270641505
21.59,1.0280952380952382,2.8095238095238173,1.9830570476727538,1.018722537938659,2.732177262134971,-0.6784193564609221,0.25849627178804047,0.24322836024808622,-1.9830570476727538,-0.10906532193093454,1.3761765503187195,0.4377171178268968,1.026416205669367,-0.4253786837556506,-0.01494461831554883
21.6,1.0285714285714287,2.857142857142869,2.006014326286909,1.031617434510823,2.732983632598689,-0.6786897045423591,0.2584505045516943,0.24325316032422234,-2.006014326286909,-0.11077909924087637,1.3969469188416461,0.4477063747600374,1.0361886879383553,-0.43256530296914564,-0.023975024583122728
21.61,1.029047619047619,2.904761904761899,2.028973923513433,1.0445227941722717,2.7337852878440594,-0.6789593058851735,0.25840493697908484,0.24327810603070785,-2.028973923513433,-0.11280509338675859,1.4177274720829303,0.4577433595497338,1.0458589033798926,-0.43971528368577095,-0.03292957075755609
21.62,1.0295238095238095,2.9523809523809508,2.051902334783273,1.057438268251352,2.734587694974358,-0.6792292518178941,0.2583594385241318,0.2433031130383664,-2.051902334783273,-0.11474439432617167,1.438511194443759,0.46779013300899397,1.0555438329814537,-0.4468680185906737,-0.04188670616895873
21.63,1.03,3.0000000000000027,2.0747946568743014,1.0703634585541748,2.7353889514999956,-0.6794992771283486,0.25831407918055954,0.2433282498350274,-2.0747946568743014,-0.11670193144915908,1.4593282928708096,0.47787668554943874,1.0651979652794852,-0.4540055094415685,-0.050797874507368945
21.64,1.0304761904761905,3.0476190476190546,2.0976950203232536,1.0832969874399365,2.7361922087268593,-0.679769572236732,0.25826867917834473,0.24335330381115924,-2.0976950203232536,-0.11857746169945393,1.480086756016652,0.4878908955202821,1.0748881382943054,-0.4611814615350207,-0.05978584018125899
21.65,1.0309523809523808,3.0952380952380842,2.1205693313184226,1.0962389909965182,2.7369938350668543,-0.6800398012995826,0.2582234231125801,0.24337848204785523,-2.1205693313184226,-0.1205207162585431,1.5008620456996358,0.4979487290428519,1.0845453217717127,-0.4683349040642937,-0.06873129834951142
21.66,1.0314285714285714,3.142857142857136,2.1434314447102754,1.10918869351088,2.737795721512811,-0.6803101664431304,0.25817821993778056,0.24340368270760607,-2.1434314447102754,-0.12244579157112412,1.5216259961326584,0.5079874628010739,1.094200102698606,-0.4754985751876495,-0.07769092881058093
21.67,1.0319047619047619,3.190476190476188,2.1662594634603183,1.122145960075984,2.7385978565138123,-0.6805808185948705,0.2581330983682523,0.2434289633965677,-2.1662594634603183,-0.12430869472518369,1.542408023433195,0.5180390020861569,1.1038506906272172,-0.482668766030514,-0.08663585894523873
21.68,1.0323809523809524,3.23809523809524,2.189088254811822,1.135109731817138,2.739400706950828,-0.6808515892187246,0.25808799811321803,0.24345422307709289,-2.189088254811822,-0.1261525275132458,1.5631511006289678,0.528053512372173,1.113514576341701,-0.4898536828916167,-0.09562247442268523
21.69,1.032857142857143,3.285714285714292,2.211899226169489,1.1480799559011297,2.7402022234673464,-0.6811222830354239,0.2580430174655058,0.2434795753887232,-2.211899226169489,-0.12806289306525054,1.583897693282732,0.538093933991135,1.123150875911172,-0.4970234964217113,-0.10458285731630435
21.7,1.0333333333333332,3.3333333333333215,2.234672786267178,1.1610566295293177,2.7410012824737393,-0.6813928577562438,0.257998217309551,0.24350509955723346,-2.234672786267178,-0.13006735574159212,1.6046932341766462,0.5481948744900711,1.132726804277051,-0.504167713989756,-0.1134654437187188
21.71,1.033809523809524,3.3809523809523956,2.2574383678791166,1.1740386796367255,2.7418008969278103,-0.6816635861783644,0.2579534541170471,0.24353063317144608,-2.2574383678791166,-0.13204446618486632,1.625458928583745,0.5582795430406406,1.1423154390440171,-0.511322900002964,-0.12237473645810848
21.72,1.0342857142857143,3.4285714285714253,2.2801931527266617,1.1870257823766102,2.742601514368951,-0.6819345595578702,0.257908712878653,0.24355616165331467,-2.2801931527266617,-0.1339615746214884,1.646205633932385,0.5683290894251236,1.1519149066336665,-0.5185000832719555,-0.13131529772122397
21.73,1.0347619047619048,3.476190476190477,2.302911225468607,1.2000181109992112,2.7434010126832624,-0.6822056214672108,0.25786411154163763,0.24358182140521722,-2.302911225468607,-0.13589347379647787,1.666984706490604,0.5784214992593295,1.1614865440341404,-0.5256594737457099,-0.1402098487376935
21.74,1.035238095238095,3.523809523809507,2.3256393342629966,1.2130144103797333,2.7442010151181893,-0.6824767036271051,0.25781952150020226,0.24360744211704238,-2.3256393342629966,-0.13783806588670844,1.6877142803282341,0.5884664433742692,1.1710661930319555,-0.532837081121329,-0.1491524138656608
21.75,1.0357142857142858,3.571428571428581,2.3483261369102615,1.2260150672947159,2.745005135658416,-0.6827487427609442,0.2577749013564403,0.2436330439072351,-2.3483261369102615,-0.13947298088675675,1.7084368715073683,0.5984714242699418,1.180722875171436,-0.5400529016067912,-0.1581582272971005
21.76,1.0361904761904763,3.619047619047633,2.370997678798148,1.2390199296088098,2.7458009670778396,-0.683019575240454,0.2577306217852395,0.24365894390993253,-2.370997678798148,-0.14159778416265034,1.7292222594167184,0.6086135662247028,1.1902081222141758,-0.5471866250741697,-0.16698534106051044
