r,Phi,Phi_prime,phi,phi_prime,V,V_minus_Vfalse,action_density_4d,w_FWHM,R_peak
1.40213228981772e-05,2.0411065257971446,-7.372061385359129e-07,-2.736228633546657e-07,-1.3702484046484849e-11,0.04830294428405181,-0.7234594524173228,-3.9365059195588987e-14,1.7517899927739728,5.860202508437851
1.4129445033049324e-05,2.041106525797064,-7.507370903116552e-07,-2.7362286335616083e-07,-1.3953984462956339e-11,0.04830294428407465,-0.7234594524172999,-4.0282762806875094e-14,1.7517899927739728,5.860202508437851
1.4238400926343116e-05,2.0411065257969816,-7.641935284083017e-07,-2.7362286335769486e-07,-1.4204099890285883e-11,0.04830294428409805,-0.7234594524172765,-4.122186051575373e-14,1.7517899927739728,5.860202508437851
1.4348197007390616e-05,2.0411065257968968,-7.775790339313851e-07,-2.7362286335926807e-07,-1.445289689064506e-11,0.048302944284122115,-0.7234594524172525,-4.2182851075205885e-14,1.7517899927739728,5.860202508437851
1.4458839755102144e-05,2.04110652579681,-7.908971991614232e-07,-2.73622863360881e-07,-1.4700442233915405e-11,0.048302944284146686,-0.7234594524172279,-4.3166244865463245e-14,1.7517899927739728,5.860202508437851
1.4570335698348642e-05,2.041106525796721,-8.041511925335716e-07,-2.736228633625337e-07,-1.4946794811945417e-11,0.04830294428417206,-0.7234594524172026,-4.417256416507041e-14,1.7517899927739728,5.860202508437851
1.4682691416346817e-05,2.0411065257966303,-8.173442950947027e-07,-2.736228633642269e-07,-1.519201560970271e-11,0.048302944284197735,-0.7234594524171769,-4.520234342826496e-14,1.7517899927739728,5.860202508437851
1.479591353904755e-05,2.0411065257965366,-8.304799507570821e-07,-2.7362286336596084e-07,-1.543616863934136e-11,0.04830294428422434,-0.7234594524171503,-4.625612956882666e-14,1.7517899927739728,5.860202508437851
1.4910008747526996e-05,2.041106525796441,-8.435612502398478e-07,-2.736228633677359e-07,-1.5679311348198733e-11,0.04830294428425138,-0.7234594524171232,-4.733448225054125e-14,1.7517899927739728,5.860202508437851
1.5024983774380862e-05,2.041106525796344,-8.56591206286814e-07,-2.736228633695526e-07,-1.5921499734281284e-11,0.04830294428427897,-0.7234594524170956,-4.84379741844371e-14,1.7517899927739728,5.860202508437851
1.5140845404121681e-05,2.041106525796244,-8.695730309363537e-07,-2.7362286337141124e-07,-1.616279349989251e-11,0.04830294428430737,-0.7234594524170672,-4.956719143295083e-14,1.7517899927739728,5.860202508437851
1.525760047357916e-05,2.0411065257961414,-8.825097747596844e-07,-2.7362286337331245e-07,-1.6403249346138536e-11,0.048302944284336444,-0.7234594524170381,-5.0722733721184084e-14,1.7517899927739728,5.860202508437851
1.5375255872303608e-05,2.0411065257960366,-8.954042325390416e-07,-2.736228633752565e-07,-1.664291921976405e-11,0.0483029442843662,-0.7234594524170084,-5.190521475541625e-14,1.7517899927739728,5.860202508437851
1.549381854297249e-05,2.04110652579593,-9.082593668271498e-07,-2.736228633772439e-07,-1.688185818587146e-11,0.048302944284396444,-0.7234594524169782,-5.311526254904281e-14,1.7517899927739728,5.860202508437851
1.5613295481800114e-05,2.0411065257958207,-9.21078179548183e-07,-2.736228633792752e-07,-1.7120122041362078e-11,0.048302944284427426,-0.7234594524169472,-5.4353519756112166e-14,1.7517899927739728,5.860202508437851
1.573369373895037e-05,2.041106525795709,-9.338633282815437e-07,-2.7362286338135074e-07,-1.73577601827853e-11,0.04830294428445916,-0.7234594524169154,-5.5620644012636894e-14,1.7517899927739728,5.860202508437851
1.5855020418952912e-05,2.0411065257955947,-9.466175412203345e-07,-2.736228633834711e-07,-1.7594823319190574e-11,0.04830294428449157,-0.723459452416883,-5.691730828586476e-14,1.7517899927739728,5.860202508437851
1.597728268112228e-05,2.0411065257954784,-9.593436829772155e-07,-2.7362286338563673e-07,-1.7831364695263862e-11,0.04830294428452459,-0.72345945241685,-5.82442012316891e-14,1.7517899927739728,5.860202508437851
1.610048773998038e-05,2.0411065257953593,-9.720443504981508e-07,-2.736228633878483e-07,-1.80674325805581e-11,0.048302944284558356,-0.7234594524168162,-5.960202756039288e-14,1.7517899927739728,5.860202508437851
1.622464286568221e-05,2.0411065257952377,-9.847220638419787e-07,-2.7362286339010605e-07,-1.8303073815521687e-11,0.048302944284592864,-0.7234594524167817,-6.099150841091905e-14,1.7517899927739728,5.860202508437851
1.6349755384444857e-05,2.0411065257951138,-9.973795045430944e-07,-2.736228633924107e-07,-1.8538338241956564e-11,0.04830294428462799,-0.7234594524167466,-6.241338173386607e-14,1.7517899927739728,5.860202508437851
1.6475832678979808e-05,2.041106525794987,-1.0100192555401704e-06,-2.736228633947628e-07,-1.87732738690615e-11,0.04830294428466391,-0.7234594524167107,-6.386840268341186e-14,1.7517899927739728,5.860202508437851
1.66028821889286e-05,2.041106525794858,-1.022643674259966e-06,-2.7362286339716294e-07,-1.900792451443504e-11,0.048302944284700576,-0.723459452416674,-6.535734401837498e-14,1.7517899927739728,5.860202508437851
1.6730911411301845e-05,2.0411065257947265,-1.0352552447452068e-06,-2.736228633996115e-07,-1.924233634909248e-11,0.048302944284737866,-0.7234594524166367,-6.688099651262568e-14,1.7517899927739728,5.860202508437851
1.6859927900921486e-05,2.041106525794592,-1.04785649434424e-06,-2.736228634021092e-07,-1.9476556348972698e-11,0.04830294428477607,-0.7234594524165985,-6.844016937506251e-14,1.7517899927739728,5.860202508437851
1.6989939270866806e-05,2.0411065257944547,-1.0604496780120904e-06,-2.736228634046566e-07,-1.9710626427027456e-11,0.048302944284814964,-0.7234594524165596,-7.00356906793844e-14,1.7517899927739728,5.860202508437851
1.7120953192923523e-05,2.0411065257943153,-1.0730370977150266e-06,-2.7362286340725433e-07,-1.994458937000867e-11,0.04830294428485453,-0.7234594524165201,-7.166840780387717e-14,1.7517899927739728,5.860202508437851
1.7252977398036523e-05,2.0411065257941727,-1.0856211737836428e-06,-2.7362286340990295e-07,-2.0178490164711363e-11,0.04830294428489496,-0.7234594524164796,-7.333918788145491e-14,1.7517899927739728,5.860202508437851
1.7386019676766065e-05,2.0411065257940275,-1.0982041324334948e-06,-2.736228634126031e-07,-2.04123701899055e-11,0.0483029442849362,-0.7234594524164384,-7.504891826019273e-14,1.7517899927739728,5.860202508437851
