r,Phi,phi,Phi_prime,phi_prime,gradient_density,H_PhiPhi,H_phiphi,H_cross,H_eigen_soft,H_eigen_hard,mixing_sin2_2theta
1.349299699644052e-05,2.041106516885532,-2.736228279413149e-07,-6.683084617173461e-07,-1.242187852890738e-11,4.466362001573085e-13,0.6942224990841628,19.272610034599897,-5.1672228020051065e-06,0.6942224990827253,19.272610034601335,3.094270890815442e-13
1.3597045070340049e-05,2.0411065168854616,-2.7362282794262085e-07,-6.822661707896701e-07,-1.2681311076283778e-11,4.65487127964815e-13,0.6942224990840767,19.272610034598575,-5.167222802029592e-06,0.69422249908264,19.272610034600014,3.0942708908451784e-13
1.370189548649791e-05,2.041106516885389,-2.73622827943964e-07,-6.961310846720158e-07,-1.2939018835418512e-11,4.845984872140555e-13,0.6942224990839876,19.272610034597196,-5.167222802054772e-06,0.6942224990825512,19.272610034598635,3.094270890875766e-13
1.3807554431987817e-05,2.041106516885315,-2.736228279453447e-07,-7.099069054256733e-07,-1.3195070616686328e-11,5.039678145451657e-13,0.6942224990838973,19.272610034595804,-5.167222802080659e-06,0.6942224990824588,19.272610034597243,3.094270890907203e-13
1.3914028141593606e-05,2.041106516885239,-2.736228279467632e-07,-7.235972819466484e-07,-1.3449534242276508e-11,5.235930266214674e-13,0.6942224990838043,19.272610034594372,-5.167222802107255e-06,0.6942224990823664,19.272610034595807,3.0942708909395014e-13
1.40213228981772e-05,2.0411065168851605,-2.736228279482199e-07,-7.372061116570633e-07,-1.3702482153744112e-11,5.434728512522844e-13,0.694222499083708,19.272610034592887,-5.1672228021345645e-06,0.6942224990822705,19.272610034594322,3.0942708909726714e-13
1.4129445033049324e-05,2.04110651688508,-2.736228279497151e-07,-7.507370629394611e-07,-1.3953982535475543e-11,5.63606137865682e-13,0.6942224990836096,19.272610034591366,-5.167222802162598e-06,0.694222499082171,19.2726100345928,3.094270891006719e-13
1.4238400926343116e-05,2.041106516884997,-2.736228279512491e-07,-7.641935005454802e-07,-1.4204097928256343e-11,5.839917064777112e-13,0.694222499083508,19.2726100345898,-5.167222802191356e-06,0.6942224990820716,19.27261003459124,3.09427089104165e-13
1.4348197007390616e-05,2.0411065168849123,-2.736228279528223e-07,-7.775790055805224e-07,-1.4452894894248886e-11,6.046291101284803e-13,0.694222499083404,19.272610034588197,-5.16722280222085e-06,0.6942224990819685,19.272610034589633,3.094270891077473e-13
1.4458839755102144e-05,2.0411065168848257,-2.736228279544352e-07,-7.908971703249746e-07,-1.4700440203325493e-11,6.255183342441548e-13,0.694222499083298,19.272610034586563,-5.16722280225109e-06,0.694222499081862,19.272610034588,3.094270891114199e-13
1.4570335698348642e-05,2.041106516884737,-2.73622827956088e-07,-8.041511632138768e-07,-1.494679274732653e-11,6.466590935216377e-13,0.6942224990831893,19.272610034584886,-5.167222802282077e-06,0.6942224990817518,19.27261003458632,3.0942708911518325e-13
1.4682691416346815e-05,2.041106516884646,-2.736228279577811e-07,-8.173442652939819e-07,-1.519201351121117e-11,6.680516482397562e-13,0.6942224990830778,19.272610034583167,-5.16722280231382e-06,0.6942224990816417,19.272610034584602,3.094270891190386e-13
1.479591353904755e-05,2.0411065168845526,-2.736228279595151e-07,-8.304799204774294e-07,-1.5436166507124672e-11,6.896968985544728e-13,0.6942224990829637,19.272610034581408,-5.1672228023463295e-06,0.694222499081528,19.272610034582847,3.094270891229869e-13
1.4910008747526996e-05,2.0411065168844567,-2.7362282796129014e-07,-8.435612194832454e-07,-1.5679309182396446e-11,7.115955312619009e-13,0.6942224990828462,19.272610034579596,-5.167222802379607e-06,0.6942224990814108,19.272610034581035,3.0942708912702883e-13
