name,nfev,cost,max_error_pct,h_Q,h_u0,h_u1,a_d0,a_d1,h_d0,h_d1,err_ct,err_ut,err_sb,err_db,err_Vus,err_Vcb,err_Vub
pair_yp1p5_zp1p5,6,3.9673034589424256e-23,6.188161094655698e-10,3.0828722286819064,3.3244242355685545,-0.03143167696557158,0.2571690891943832,0.23309098354148278,2.996629535185805,-0.7015450385921992,2.382538610845586e-11,-6.188161094655698e-10,8.326672684688674e-12,1.396660564978447e-11,-3.5271785492341223e-11,-3.0309088572266774e-12,1.0822454044046026e-10
validation_05,8,4.988217620762014e-23,6.690648035601043e-10,3.0335518483315673,3.275750902928233,-0.03118399588584567,0.2550303730625841,0.23300948942267075,2.959718679051535,-0.6943996750321536,3.241851231905457e-12,-6.690648035601043e-10,-6.0174087934683484e-12,-2.6334490144108713e-11,9.736655925962623e-11,9.348077867343818e-12,-2.0216051055399475e-10
validation_01,10,4.4788699270711714e-24,2.0330404026935867e-10,2.881216685049407,3.0377858672364755,-0.030594392468974666,0.249985292165715,0.23559731865830605,2.772300228872117,-0.6645488335176674,-5.5067062021407764e-12,2.0330404026935867e-10,-7.416289804496046e-12,-3.695932448977146e-11,1.7319479184152442e-11,2.6201263381153694e-12,-4.121147867408581e-11
corridor_x_m3p0pct,10,9.075692422301117e-23,9.50395318000119e-10,2.999140919059147,3.211108365856576,-0.031101171010269785,0.2546548316372772,0.23412971461930784,2.907442013638126,-0.6870681377452351,-1.141309269314661e-11,-9.50395318000119e-10,6.461498003318411e-12,1.1590728377086634e-11,-1.2656542480726785e-11,-3.7192471324942744e-12,6.195044477408373e-11
corridor_x_p3p0pct,8,3.321700371408422e-22,1.8203105689451604e-09,2.965659157333811,3.1882542132577445,-0.03085203562136783,0.2521384785034315,0.23334115804955624,2.8920460860153905,-0.6823391871173442,3.9124259387790516e-11,-1.8203105689451604e-09,-2.9976021664879227e-13,-3.874678355941796e-12,3.1463720517876936e-11,1.3322676295501878e-12,-7.505107646466058e-11
corridor_y_m3p0pct,14,8.895981493186986e-24,2.9125590828016357e-10,2.8011623642751813,2.8949008094922877,-0.030354081133600004,0.2472103759986221,0.23781178314453447,2.6601169671979665,-0.6477531333678143,3.0531133177191805e-11,2.9125590828016357e-10,-1.1435297153639112e-12,5.2313708920337376e-11,-2.3092638912203256e-12,-4.107825191113079e-12,2.091660178393795e-11
corridor_y_p3p0pct,16,2.3541731479686934e-23,4.84268181111247e-10,3.1941999654331656,3.432932318237838,-0.03190178913006219,0.2607268396375666,0.23276704668424372,3.0805905391571256,-0.7165089835534063,-2.80109269112927e-11,-4.84268181111247e-10,-1.887379141862766e-13,7.238654120556021e-12,6.750155989720952e-12,2.9531932455029164e-12,3.197442310920451e-12
corridor_z_m3p0pct,14,1.1568205043802718e-24,1.0252909632413321e-10,2.9845196957916693,3.1972876018306406,-0.030932023222106794,0.25302113245490765,0.2334700814052556,2.8980247485305006,-0.6837192771903381,-1.4366285938649526e-11,-1.0252909632413321e-10,1.5765166949677223e-12,-1.4976908602193362e-11,-1.4210854715202004e-12,7.860379014346108e-12,-2.3647750424515834e-11
corridor_z_p3p0pct,9,7.20097343306668e-23,8.455014466335342e-10,2.9801905777298754,3.2030000834897847,-0.03101582997447327,0.25379176902748823,0.23394525678550418,2.9020770323247973,-0.6856599775128717,-8.182343691487404e-12,-8.455014466335342e-10,-1.6320278461989801e-12,6.0174087934683484e-12,-4.1389114358025836e-11,8.282263763703668e-12,5.7776006201493146e-11
corridor_x_m5p0pct,9,1.0508486046292119e-22,1.024935691873452e-09,3.0107643116235154,3.2181050532468864,-0.031184394813560022,0.2555164539597612,0.23439838288001727,2.911994625401819,-0.6885315039580209,-6.4503957730721595e-12,1.024935691873452e-09,7.438494264988549e-12,-8.37108160567368e-12,-8.526512829121202e-12,-7.205347429817266e-12,7.993605777301127e-12
corridor_x_p5p0pct,9,1.0963935546320239e-23,3.1676883338604966e-10,2.9551372738673396,3.1802165620392175,-0.030768847633230952,0.2513420303354777,0.23307296153241172,2.886432850133313,-0.6806363843280638,3.064215547965432e-12,3.1676883338604966e-10,4.196643033083092e-12,1.3300471835009375e-11,-3.3928415632544784e-11,-2.8754776337791554e-12,8.906209103543006e-11
corridor_y_m5p0pct,18,1.0423523395877464e-22,1.0203837774724889e-09,2.694783698642379,2.615894823273573,-0.030280972447112156,0.2444873506576185,0.2443297730758925,2.4387648457598305,-0.6177405871055967,-1.545430450278218e-11,1.0203837774724889e-09,5.373479439185758e-12,-1.56097357262297e-11,-8.43769498715119e-12,-4.274358644806853e-12,2.3847590568948362e-11
corridor_y_p5p0pct,14,3.777876734238948e-23,6.133649144146602e-10,3.3555167070288636,3.561051556804727,-0.032623682331317704,0.26589783581459586,0.233131034063315,3.178820943765753,-0.7356376668245537,3.6926017799032707e-11,-6.133649144146602e-10,6.217248937900877e-13,1.1102230246251565e-13,-1.1524114995609125e-11,-8.193445921733655e-12,2.731148640577885e-12
corridor_z_m5p0pct,7,1.1905983484228042e-22,1.090383339175105e-09,2.9855345534923883,3.1945510558371844,-0.03089937757258441,0.25271410779409337,0.2333016802728641,2.8960579867065164,-0.6829346514203987,7.904787935331115e-12,-1.090383339175105e-09,-9.103828801926284e-13,2.1227464230832993e-11,-9.79216707719388e-12,5.1736392947532295e-12,3.204103649068202e-11
corridor_z_p5p0pct,7,4.0872315859554733e-23,6.347700143294333e-10,2.9781637977211615,3.2043386961481013,-0.031043984898828515,0.2540285879282182,0.23413214952550698,2.903051468704181,-0.6863017742130029,1.5010215292932116e-11,-6.347700143294333e-10,2.708944180085382e-12,1.4521717162097048e-11,2.5268676040468563e-11,-1.6431300764452317e-12,-6.860068069158842e-11
corridor_x_m8p0pct,8,7.366458601914048e-24,2.539524146527583e-10,3.028035095278785,3.227649031474761,-0.03131346037605563,0.25680512374360287,0.234858392690618,2.9181476859204527,-0.6907303668676403,-6.106226635438361e-13,-2.539524146527583e-10,-2.375877272697835e-12,-3.4650060598551136e-11,-4.164446565368962e-11,-4.884981308350689e-13,7.893685705084863e-11
corridor_x_p8p0pct,9,2.512635941157871e-24,1.5059065106015623e-10,2.9388410624287378,3.166363950426638,-0.030646076012613904,0.2500718703586107,0.23273021355100323,2.87679317485794,-0.6780136716825432,3.552713678800501e-12,1.5059065106015623e-10,-1.6142642778049776e-11,1.658673198789984e-11,-4.8405723873656825e-12,1.176836406102666e-11,-4.169997680492088e-11
corridor_y_m8p0pct,38,3.97144808582857e-23,6.257661055997232e-10,2.562608597155347,1.848502992158188,-0.032096127389033786,0.25130457817795177,0.27598871035098305,1.8255222610721573,-0.5436824145037927,1.2212453270876722e-12,6.257661055997232e-10,-1.1435297153639112e-12,3.89910326248355e-11,3.306244167333716e-11,4.529709940470639e-12,-5.4090065759737627e-11
corridor_y_p8p0pct,16,2.8359196401334048e-24,1.3364864770437634e-10,3.6344202079723242,3.7218388414177186,-0.03380794718087749,0.2738607786902661,0.2345877486599598,3.3006524567496776,-0.7614286963629389,-3.3661962106634746e-11,1.3364864770437634e-10,1.1102230246251565e-12,3.232969447708456e-11,2.4291679778798425e-11,2.1316282072803006e-12,-8.788525462932739e-11
corridor_z_m8p0pct,6,1.1436524396525156e-22,1.0686118656622057e-09,2.987462517352718,3.191063293055886,-0.030854695338038324,0.25230507919447576,0.23305181270743347,2.893525732044395,-0.6818354164913324,3.2862601528904634e-11,-1.0686118656622057e-09,1.3700152123874432e-11,1.2012613126444194e-11,8.08242361927114e-12,-1.0591527654923993e-11,1.1479706074624119e-11
corridor_z_p8p0pct,8,1.1043644702002533e-22,1.0478062861807302e-09,2.9756319088030656,3.206448742714031,-0.03108137950514739,0.25438827038693124,0.23435686920914128,2.904468357270294,-0.687115486349525,-4.424238753131249e-11,1.0478062861807302e-09,6.106226635438361e-12,-3.879119248040297e-11,-9.71445146547012e-12,5.46229728115577e-12,5.331290964250002e-11
