name,design_phase,x,y,z,center_bulk_completion_fraction,center_energy_excess_fraction,epsilon_radial_identity,epsilon_identity_abs_error,u_center,lambda_radial,chi_lowest_dimension,radial_driver_lambda_epsilon,radial_chi_weight,two_u_identity,radial_chi_weight_minus_2u
axis_z_m1p0pct,phase1_axis,0.0,0.0,-0.01,0.8656931114646158,0.0627880513404813,0.062788049508824,1.8316572564236462e-09,0.1343068885353842,1.071987663839285,0.2505754367627122,0.06730801450998959,0.26861377707076833,0.2686137770707684,-5.551115123125783e-17
axis_z_p1p0pct,phase1_axis,0.0,0.0,0.01,0.8661534920698123,0.0623891151344083,0.0623891133147413,1.81966691020774e-09,0.1338465079301877,1.0717232041731648,0.24977812817526937,0.0668638604271972,0.2676930158603752,0.2676930158603754,-2.220446049250313e-16
axis_z_p2p0pct,phase1_axis,0.0,0.0,0.02,0.8663816688450252,0.0621917846894721,0.0621917828756936,1.8137784885130515e-09,0.1336183311549748,1.071592179341143,0.2493828038893091,0.06664422814887568,0.2672366623099496,0.2672366623099496,0.0
pair_xm1p5_ym1p5,phase2_interaction,-0.015,-0.015,0.0,0.8636551853341286,0.0645666700454716,0.0645666681337468,1.911724778480561e-09,0.1363448146658714,1.0731598933852275,0.254099720845472,0.06929035869065109,0.27268962933174284,0.2726896293317428,5.551115123125783e-17
pair_xm1p5_yp1p5,phase2_interaction,-0.015,0.015,0.0,0.8726065391683383,0.0569098388902539,0.056909837204967,1.685286812880271e-09,0.1273934608316617,1.0680300202776392,0.23855782780065507,0.06078141458401805,0.2547869216633232,0.2547869216633234,-2.220446049250313e-16
pair_xp1p5_ym1p5,phase2_interaction,0.015,-0.015,0.0,0.8590563110774242,0.0686556637724513,0.0686556617998352,1.972616014978001e-09,0.1409436889225758,1.075814642129313,0.26202225439804766,0.07386076622934086,0.28188737784515144,0.2818873778451516,-1.6653345369377348e-16
pair_xp1p5_yp1p5,phase2_interaction,0.015,0.015,0.0,0.8681721993177041,0.0606523783970994,0.0606523766541883,1.74291103771651e-09,0.1318278006822959,1.0705651228138615,0.24627703233186057,0.06493231906174368,0.26365560136459165,0.2636556013645918,-1.6653345369377348e-16
pair_xm1p5_zm1p5,phase2_interaction,-0.015,0.0,-0.015,0.8678288584126647,0.060946315733619,0.0609463139286372,1.8049817404608422e-09,0.1321711415873353,1.0707619121484493,0.24687307250617108,0.06525899164062723,0.2643422831746705,0.2643422831746706,-1.1102230246251565e-16
pair_xm1p5_zp1p5,phase2_interaction,-0.015,0.0,0.015,0.8685126155226011,0.0603615321313231,0.0603615303442133,1.7871097310329096e-09,0.1314873844773989,1.0703700811999193,0.24568583667809038,0.06460917613588699,0.2629747689547977,0.2629747689547978,-1.1102230246251565e-16
pair_xp1p5_zm1p5,phase2_interaction,0.015,0.0,-0.015,0.863304923917914,0.0648744393735542,0.0648744375091665,1.864387658145894e-09,0.1366950760820859,1.0733616244595443,0.2547046083390846,0.06963373163073815,0.2733901521641719,0.2733901521641718,1.1102230246251565e-16
