scale_ratio_Lambda_over_M,log_interval,sign,N_eff,mismatch_pct,below_1pct_flavor_window
2.598458104929249,0.9549182325460256,enhancement,21.14332807952071,0.6825146643843372,True
2.6387891048289336,0.9703201395225745,suppression,20.855452502736426,-0.6883214155408268,True
2.6387891048289336,0.9703201395225745,enhancement,21.1456486078215,0.6935647991499927,True
2.6797460873256913,0.9857220464991233,suppression,20.85316692830638,-0.6992051033029578,True
2.6797460873256913,0.9857220464991233,enhancement,21.147969415766354,0.70461626555407,True
2.7213387683753076,1.001123953475672,suppression,20.85088162906789,-0.7100874806291069,True
2.7213387683753076,1.001123953475672,enhancement,21.15029050339062,0.7156690637648566,True
2.763577014736159,1.0165258604522207,suppression,20.84859660498618,-0.7209685476848526,True
2.763577014736159,1.0165258604522207,enhancement,21.152611870729658,0.7267231939507512,True
2.806470846309838,1.0319277674287697,suppression,20.846311856026492,-0.7318483046357516,True
2.806470846309838,1.0319277674287697,enhancement,21.154933517818822,0.7377786562801081,True
2.850030438518107,1.0473296744053184,suppression,20.84402738215406,-0.7427267516473379,True
2.850030438518107,1.0473296744053184,enhancement,21.157255444693476,0.7488354509213035,True
2.8942661247167507,1.0627315813818672,suppression,20.84174318333413,-0.7536038888850904,True
2.8942661247167507,1.0627315813818672,enhancement,21.159577651388993,0.7598935780428251,True
2.9391883986468863,1.078133488358416,suppression,20.83945925953195,-0.7644797165145212,True
2.9391883986468863,1.078133488358416,enhancement,21.16190013794074,0.7709530378130491,False
2.9848079169243267,1.093535395334965,suppression,20.837175610712766,-0.77535423470112,True
2.9848079169243267,1.093535395334965,enhancement,21.164222904384093,0.7820138304004409,False
3.0311355015675785,1.1089373023115137,suppression,20.834892236841846,-0.7862274436102545,True
3.0311355015675785,1.1089373023115137,enhancement,21.16654595075444,0.7930759559735323,False
3.0781821425650793,1.1243392092880624,suppression,20.83260913788444,-0.7970993434074258,True
3.0781821425650793,1.1243392092880624,enhancement,21.168869277087165,0.8041394147007885,False
3.1259590004822804,1.1397411162646114,suppression,20.83032631380582,-0.8079699342580016,True
3.1259590004822804,1.1397411162646114,enhancement,21.17119288341766,0.8152042067507637,False
3.1744774091091927,1.1551430232411601,suppression,20.828043764571255,-0.8188392163273606,True
3.1744774091091927,1.1551430232411601,enhancement,21.173516769781315,0.8262703322919673,False
3.2237488781490296,1.170544930217709,suppression,20.82576149014602,-0.8297071897808483,True
3.2237488781490296,1.170544930217709,enhancement,21.175840936213536,0.8373377914930202,False
3.2737850959485764,1.1859468371942576,suppression,20.823479490495398,-0.8405738547838215,True
3.2737850959485764,1.1859468371942576,enhancement,21.178165382749725,0.8484065845224986,False
3.3245979322709407,1.2013487441708064,suppression,20.821197765584667,-0.8514392115015812,True
3.3245979322709407,1.2013487441708064,enhancement,21.180490109425293,0.8594767115490232,False
3.376199441111339,1.2167506511473551,suppression,20.81891631537912,-0.8623032600994285,True
3.376199441111339,1.2167506511473551,enhancement,21.182815116275655,0.8705481727412145,False
3.428601863556586,1.232152558123904,suppression,20.816635139844045,-0.8731660007426423,True
3.428601863556586,1.232152558123904,enhancement,21.18514040333622,0.8816209682677156,False
3.4818176306889654,1.2475544651004526,suppression,20.81435423894474,-0.8840274335964682,True
3.4818176306889654,1.2475544651004526,enhancement,21.187465970642428,0.8926950982972803,False
3.5358593665351785,1.2629563720770016,suppression,20.812073612646515,-0.8948875588261185,True
3.5358593665351785,1.2629563720770016,enhancement,21.189791818229693,0.9037705629985293,False
3.590739891061054,1.2783582790535504,suppression,20.809793260914663,-0.9057463765968388,True
3.590739891061054,1.2783582790535504,enhancement,21.19211794613345,0.9148473625402387,False
3.646472223212748,1.2937601860300991,suppression,20.80751318371451,-0.9166038870737636,True
3.646472223212748,1.2937601860300991,enhancement,21.19444435438914,0.9259254970911401,False
3.70306958400514,1.3091620930066479,suppression,20.80523338101135,-0.9274600904221386,True
3.70306958400514,1.3091620930066479,enhancement,21.1967710430322,0.9370049668200098,False
3.760545399658171,1.3245639999831968,suppression,20.80295385277053,-0.9383149868070095,True
3.760545399658171,1.3245639999831968,enhancement,21.199098012098077,0.9480857718956015,False
3.8189133047818533,1.3399659069597456,suppression,20.80067459895735,-0.9491685763935664,True
3.8189133047818533,1.3399659069597456,enhancement,21.201425261622223,0.9591679124867802,False
3.8781871456107226,1.3553678139362944,suppression,20.79839561953715,-0.9600208593469106,True
3.8781871456107226,1.3553678139362944,enhancement,21.203752791640092,0.9702513887623443,False
3.938380983288488,1.370769720912843,suppression,20.796116914475263,-0.9708718358320767,True
3.938380983288488,1.370769720912843,enhancement,21.20608060218714,0.9813362008911364,False
3.9995090972036653,1.386171627889392,suppression,20.793838483737023,-0.9817215060141771,True
3.9995090972036653,1.386171627889392,enhancement,21.20840869329884,0.992422349042088,False
4.061585988376979,1.4015735348659408,suppression,20.791560327287776,-0.9925698700582131,True
4.061585988376979,1.4015735348659408,enhancement,21.210737065010655,1.0035098333840642,False
4.1246263829013525,1.4169754418424898,suppression,20.789282445092866,-1.0034169281292082,True
4.1246263829013525,1.4169754418424898,enhancement,21.213065717358052,1.0145986540859742,False
4.188645235435271,1.4323773488190383,suppression,20.787004837117642,-1.014262680392175,True
4.188645235435271,1.4323773488190383,enhancement,21.215394650376524,1.0256888113167717,False
4.253657732750387,1.4477792557955873,suppression,20.784727503327467,-1.0251071270120593,True
4.253657732750387,1.4477792557955873,enhancement,21.217723864101544,1.036780305245455,False
4.319679297334174,1.4631811627721363,suppression,20.782450443687694,-1.0359502681538402,True
4.319679297334174,1.4631811627721363,enhancement,21.220053358568595,1.0478731360409332,False
4.386725591048498,1.4785830697486848,suppression,20.78017365816369,-1.0467921039824302,True
4.386725591048498,1.4785830697486848,enhancement,21.22238313381318,1.0589673038722935,False
4.454812518844989,1.4939849767252338,suppression,20.77789714672082,-1.057632634662753,True
4.454812518844989,1.4939849767252338,enhancement,21.22471318987079,1.070062808908534,False
4.523956232538054,1.5093868837017825,suppression,20.775620909324466,-1.0684718603596877,True
4.523956232538054,1.5093868837017825,enhancement,21.227043526776924,1.0811596513186972,False
4.594173134636477,1.5247887906783313,suppression,20.77334494594,-1.0793097812380914,True
4.594173134636477,1.5247887906783313,enhancement,21.22937414456709,1.0922578312718478,False
4.6654798822344725,1.54019069765488,suppression,20.7710692565328,-1.0901463974628545,True
4.6654798822344725,1.54019069765488,enhancement,21.231705043276797,1.1033573489371395,False
4.737893390963144,1.555592604631429,suppression,20.768793841068266,-1.100981709198734,True
4.737893390963144,1.555592604631429,enhancement,21.234036222941562,1.114458204483637,False
4.811430839003259,1.5709945116079775,suppression,20.766518699511778,-1.1118157166105869,True
4.811430839003259,1.5709945116079775,enhancement,21.2363676835969,1.1255603980804718,False
4.886109671160326,1.5863964185845263,suppression,20.764243831828733,-1.1226484198631814,True
4.886109671160326,1.5863964185845263,enhancement,21.238699425278337,1.1366639298968417,False
