sign,sign_numeric,c_g,N_eff,k_weighted_over_k0,mismatch_pct,max_flavor_error_pct_interp,rms_flavor_error_pct_interp
suppression,-1,1.5,20.40498730747678,0.9716660622607991,-2.83339377392009,1.0980544199717568,0.7432403648439093
suppression,-1,1.51,20.401083275092702,0.9714801559567954,-2.8519844043204623,1.1062402481206133,0.7482836152138848
suppression,-1,1.52,20.39718006414732,0.97129428876892,-2.870571123108001,1.1144136924212766,0.7533404852423634
suppression,-1,1.53,20.393277674459146,0.9711084606885307,-2.889153931146926,1.1225813222480387,0.7584019297021297
suppression,-1,1.54,20.38937610584674,0.9709226717069876,-2.907732829301235,1.130747505622392,0.7634653984389429
suppression,-1,1.55,20.3854753581287,0.9707369218156524,-2.926307818434759,1.138913399725803,0.7685440278586851
suppression,-1,1.56,20.381575431123665,0.9705512110058888,-2.9448788994111186,1.147077575734135,0.7736215887404198
suppression,-1,1.57,20.377676324650317,0.9703655392690627,-2.963446073093734,1.155244348517348,0.7787090575904846
suppression,-1,1.58,20.373778038527377,0.9701799065965417,-2.982009340345826,1.1634123276272903,0.7838028963127295
suppression,-1,1.59,20.369880572573603,0.9699943129796954,-3.0005687020304594,1.171578052414538,0.7888962092618665
suppression,-1,1.6,20.365983926607804,0.9698087584098954,-3.0191241590104556,1.179725111596075,0.794005717304202
suppression,-1,1.61,20.36208810044882,0.9696232428785152,-3.03767571214848,1.1878704567356655,0.7991141503683258
