name,design_phase,x,y,z,Gmax_y,max_error_pct,rms_error_pct,a_d0_fit,h_d0_fit,err_ct,err_ut,err_sb,err_db,err_Vus,err_Vcb,err_Vub
validation_07,phase2_validation,-0.0096297463073575,-0.0069259474504271,-0.0097270843377641,0.7483835950610457,3.6171527143529447,2.0715306730520715,0.2656940656515798,2.615233246189703,-0.5843697855129504,-2.74870344647572,-0.7771162722252201,3.6171527143529447,0.6825266813270003,0.6034663258200679,2.7611770834647498
validation_08,phase2_validation,0.0042447431931197,-0.0008398559478993,0.010928888105964,0.7592313240290951,0.7177860529143487,0.43192699289393255,0.25704988830821324,2.6697811059926275,0.19766700428205386,0.18243873892089812,0.7177860529143487,0.5538130717605005,-0.3821338781171857,-0.09759767948862574,-0.5060563291119591
corridor_x_m3p0pct,corridor,-0.03,0.0,0.0,0.7472314072203685,4.67432877770404,2.827508777555069,0.255966493967399,2.631458819573017,-0.8337833987754895,-4.67432877770404,0.9230731736689979,-3.131105619087604,-3.17286297064977,-0.13917892974057988,-3.5604466356171427
corridor_x_m5p0pct,corridor,-0.05,0.0,0.0,0.740205147683979,7.4376492044273546,4.539717089122288,0.25511113299769,2.609820244937237,-1.5125281769597154,-7.4376492044273546,1.117491548369931,-5.576310938698203,-4.866263560620632,-0.14931438015551857,-5.532630902147528
corridor_x_m8p0pct,corridor,-0.08,0.0,0.0,0.7296836596938305,11.50378076622981,7.0344602385236215,0.25432525160485026,2.576611965054317,-2.563125018273671,-11.50378076622981,1.4091309333329693,-9.090494551699713,-7.321474977773434,-0.08161434251479083,-8.32138427318344
corridor_x_p3p0pct,corridor,0.03,0.0,0.0,0.7684697243346807,4.2824695611823005,2.5301835538880844,0.2593249620016009,2.6959348830868426,1.1209419535462395,3.87968832503085,0.4663439402400327,4.2824695611823005,1.9522416166663392,0.15378916523918207,2.4723245542846772
corridor_x_p5p0pct,corridor,0.05,0.0,0.0,0.7755776967844449,6.910593314870317,4.358077701619713,0.2609492261480542,2.7166951348190067,1.7458069767191997,6.816053145554979,0.3205081989374303,6.910593314870317,3.742380874578277,0.37225968795928654,4.630383238533087
corridor_x_p8p0pct,corridor,0.08,0.0,0.0,0.7862467925589653,11.298376957778622,7.051076603142028,0.26323204263336597,2.7483879968189817,2.6596779629387113,11.298376957778622,0.18520282362155527,10.652494528968504,6.34086264467808,0.7693329781126801,7.680378116444975
corridor_y_m3p0pct,corridor,0.0,-0.03,0.0,0.7336981426389746,14.936631105204201,8.753597314774337,0.289349874887588,2.521048601445168,-2.023133126605614,-4.40755867046887,-4.379596986513601,14.936631105204201,6.765452219440382,2.396033859366087,14.80075944122412
corridor_y_m5p0pct,corridor,0.0,-0.05,0.0,0.7178565644857858,25.680358226999388,14.927947444805225,0.3124864607000412,2.426608696712524,-3.6869995122359223,-7.50150893626399,-7.329284933088109,25.11159557044462,11.437709326030099,3.9276022790315945,25.680358226999388
