mode,scale_relative_to_radial,lambda0,lambdaF,max_error_pct,rms_error_pct,below_1pct
seed_only,1.174,1.258357802546825,1.0718550277230197,0.6439113734420188,0.36738150520016183,True
seed_only,1.175,1.259429657574548,1.0718550277230197,0.644100260779823,0.3676278438490597,True
seed_only,1.176,1.260501512602271,1.0718550277230197,0.6442891501005632,0.36787622544450055,True
seed_only,1.177,1.2615733676299943,1.0718550277230197,0.6444780415196805,0.36812664601263884,True
seed_only,1.178,1.2626452226577172,1.0718550277230197,0.6446669349576384,0.3683791014173102,True
seed_only,1.179,1.2637170776854403,1.0718550277230197,0.6448558304320673,0.36863358764418697,True
seed_only,1.18,1.2647889327131632,1.0718550277230197,0.6450447279448657,0.3688901004920521,True
seed_only,1.181,1.2658607877408863,1.0718550277230197,0.6452336274880399,0.36914863587410585,True
seed_only,1.182,1.2669326427686092,1.0718550277230197,0.6454225290982496,0.36940918957404884,True
seed_only,1.183,1.2680044977963323,1.0718550277230197,0.6456114327631379,0.36967175745774283,True
seed_only,1.184,1.2690763528240552,1.0718550277230197,0.6458003384057776,0.3699363352628468,True
seed_only,1.185,1.2701482078517783,1.0718550277230197,0.6459892461193051,0.37020291879554473,True
seed_only,1.186,1.2712200628795012,1.0718550277230197,0.6461781558801505,0.3704715038234519,True
seed_only,1.187,1.2722919179072243,1.0718550277230197,0.6463670676572719,0.37074208602328956,True
seed_only,1.188,1.2733637729349474,1.0718550277230197,0.6465559815128863,0.3710146611631682,True
seed_only,1.189,1.2744356279626705,1.0718550277230197,0.6467448973702883,0.3712892249308195,True
seed_only,1.19,1.2755074829903934,1.0718550277230197,0.6469338152596205,0.37156577296505217,True
seed_only,1.191,1.2765793380181165,1.0718550277230197,0.6471227352279785,0.3718443009459346,True
seed_only,1.192,1.2776511930458394,1.0718550277230197,0.6473116571957371,0.3721248044842271,True
seed_only,1.193,1.2787230480735625,1.0718550277230197,0.6475005812226264,0.3724072792509733,True
seed_only,1.194,1.2797949031012854,1.0718550277230197,0.6476895072860755,0.372691720773066,True
seed_only,1.195,1.2808667581290085,1.0718550277230197,0.6478784353619926,0.3729781246916439,True
seed_only,1.196,1.2819386131567314,1.0718550277230197,0.6480673655370306,0.37326648653504185,True
seed_only,1.197,1.2830104681844545,1.0718550277230197,0.6482562977174089,0.37355680188254214,True
seed_only,1.198,1.2840823232121774,1.0718550277230197,0.6484452319700407,0.37384906621440206,True
seed_only,1.199,1.2851541782399007,1.0718550277230197,0.648634168179929,0.3741432750860204,True
seed_only,1.2,1.2862260332676236,1.0718550277230197,0.6488231064682659,0.374439423992464,True
seed_only,1.201,1.2872978882953467,1.0718550277230197,0.6490120468070626,0.3747375083827162,True
seed_only,1.202,1.2883697433230696,1.0718550277230197,0.6492009891841843,0.3750375237563312,True
seed_only,1.203,1.2894415983507928,1.0718550277230197,0.6493899335786479,0.375339465564138,True
seed_only,1.204,1.2905134533785156,1.0718550277230197,0.6495788800536029,0.37564332923413607,True
seed_only,1.205,1.2915853084062388,1.0718550277230197,0.64976782852596,0.375949110157428,True
seed_only,1.206,1.2926571634339616,1.0718550277230197,0.6499567790437144,0.3762568037822111,True
seed_only,1.207,1.2937290184616848,1.0718550277230197,0.6501457316157588,0.3765664054815578,True
seed_only,1.208,1.2948008734894076,1.0718550277230197,0.6503346862704928,0.3768779106534121,True
seed_only,1.209,1.2958727285171308,1.0718550277230197,0.6505236428505423,0.3771913146095798,True
seed_only,1.21,1.2969445835448536,1.0718550277230197,0.6507126015772857,0.37750661277786607,True
seed_only,1.211,1.298016438572577,1.0718550277230197,0.6509015622506831,0.37782380040751135,True
seed_only,1.212,1.2990882936002999,1.0718550277230197,0.6510905250544319,0.37814287291457077,True
seed_only,1.213,1.300160148628023,1.0718550277230197,0.6512794898211216,0.3784638255549102,True
seed_only,1.214,1.3012320036557459,1.0718550277230197,0.6514684566671258,0.37878665364101016,True
