zeta_2ay2L_over_16pi2,qF_effective_over_tree,inside_direct_flavor_1pct_scale_window
1.6,0.38567465219767516,False
1.605,0.3849356666872691,False
1.61,0.384199507682367,False
1.615,0.38346615899739944,False
1.62,0.382735604570206,False
1.625,0.3820078284608374,False
1.6300000000000001,0.3812828148503581,False
1.635,0.3805605480396733,False
1.6400000000000001,0.37984101244838187,False
1.645,0.3791241926137522,False
1.6500000000000001,0.37841007318952546,False
1.655,0.3776986389449171,False
1.6600000000000001,0.37698987476329504,False
1.665,0.37628376564145516,False
1.67,0.37558029668842413,False
1.675,0.37487945312411297,False
1.68,0.37418122027879147,False
1.685,0.3734855835918168,False
1.69,0.37279252861041134,False
1.695,0.3721020409891126,False
1.7,0.3714141064884269,False
1.705,0.37072871097398086,False
1.71,0.3700458404155981,False
1.715,0.36936548088620225,False
1.72,0.3686876185609677,False
1.725,0.36801223971642216,False
1.73,0.36733933072942365,False
1.735,0.3666688780762624,False
1.74,0.3660008683319122,False
1.745,0.36533528816885835,False
1.75,0.36467212435639884,False
1.7550000000000001,0.3640113637597216,False
1.76,0.3633529933390808,False
1.7650000000000001,0.3626970001487996,False
1.77,0.3620433713366956,False
1.7750000000000001,0.3613920941428847,False
1.78,0.36074315589920614,False
1.7850000000000001,0.3600965440284246,False
1.79,0.3594522460430089,False
1.795,0.35881024954505514,False
1.8,0.3581705422248418,False
1.805,0.3575331118602552,False
1.81,0.3568979463160417,False
1.815,0.3562650335432077,False
1.82,0.35563436157787404,False
1.825,0.355005918540776,False
1.83,0.35437969263656494,False
1.835,0.3537556721528114,False
1.84,0.3531338454595302,False
1.845,0.35251420100848213,False
1.85,0.35189672733202804,False
1.855,0.35128141304307664,False
1.86,0.35066824683388903,False
1.865,0.3500572174754798,False
1.87,0.349448313817043,False
1.875,0.34884152478537805,False
1.8800000000000001,0.34823683938369443,False
1.885,0.34763424669178344,False
1.8900000000000001,0.34703373586445013,False
1.895,0.3464352961316101,False
1.9000000000000001,0.345838916797244,False
1.905,0.34524458723884804,False
1.9100000000000001,0.34465229690683546,False
1.915,0.3440620353238139,False
1.92,0.3434737920841851,False
1.925,0.3428875568532238,False
1.93,0.34230331936680186,False
1.935,0.34172106943044167,False
1.94,0.34114079691916566,False
1.945,0.3405624917764,False
1.95,0.3399861440137992,False
1.955,0.33941174371047317,False
1.96,0.3388392810125138,False
1.965,0.3382687461322715,False
1.97,0.33770012934798116,False
1.975,0.33713342100308874,False
1.98,0.3365686115058276,False
1.985,0.33600569132859465,False
1.99,0.3354446510073026,False
1.995,0.3348854811411299,False
2.0,0.33432817239169865,False
