name,design_phase,x,y,z,center_bulk_completion_fraction,center_energy_excess_fraction,epsilon_radial_identity,epsilon_identity_abs_error,u_center,lambda_radial
corridor_y_m5p0pct,corridor,0.0,-0.05,0.0,0.8504164485889842,0.0766137381939089,0.07661373595959924,2.2343096678367758e-09,0.14958355141101576,1.0808377765583954
corridor_y_m8p0pct,corridor,0.0,-0.08,0.0,0.8406905953513512,0.0859893029952281,0.08598930048769,2.5075380938321956e-09,0.15930940464864884,1.086548714406964
corridor_y_p3p0pct,corridor,0.0,0.03,0.0,0.8747923361537251,0.0551021033036936,0.05510210169613874,1.6075548600613665e-09,0.1252076638462749,1.0667848174071095
corridor_y_p5p0pct,corridor,0.0,0.05,0.0,0.8805181027332832,0.0504846407392722,0.05048463926620375,1.4730684519403958e-09,0.11948189726671676,1.0635366908157136
corridor_y_p8p0pct,corridor,0.0,0.08,0.0,0.8888224360375135,0.0440977657378885,0.04409776445079509,1.2870934040787319e-09,0.11117756396248646,1.05886078110959
corridor_z_m3p0pct,corridor,0.0,0.0,-0.03,0.8652272823713582,0.0631927859967353,0.06319278415275813,1.843977179283307e-09,0.13477271762864185,1.0722553861947046
corridor_z_m5p0pct,corridor,0.0,0.0,-0.05,0.8647559078434861,0.0636034395566612,0.06360343769996238,1.8566988224666403e-09,0.1352440921565139,1.072526431790699
corridor_z_m8p0pct,corridor,0.0,0.0,-0.08,0.864038230344973,0.0642307895353209,0.06423078765855778,1.8767631199123613e-09,0.13596176965502704,1.0729393675739498
corridor_z_p3p0pct,corridor,0.0,0.0,0.03,0.8666085187995911,0.0619958601362584,0.061995858328304065,1.8079543348537008e-09,0.1333914812004089,1.0714619481572882
corridor_z_p5p0pct,corridor,0.0,0.0,0.05,0.8670582840044729,0.0616081722090375,0.061608170412555556,1.7964819423732514e-09,0.13294171599552707,1.071203838216766
corridor_z_p8p0pct,corridor,0.0,0.0,0.08,0.8677232630889018,0.0610368362687228,0.06103683448905665,1.7796661505586897e-09,0.1322767369110982,1.0708224497307672
