name,design_phase,x,y,z,success,nfev,max_pct,fit_h_Q,fit_h_u0,fit_h_u1,fit_a_d0,fit_a_d1,fit_h_d0,fit_h_d1,pred_h_Q,pred_h_u0,pred_h_u1,pred_a_d0,pred_a_d1,pred_h_d0,pred_h_d1,err_ct,err_ut,err_sb,err_db,err_Vus,err_Vcb,err_Vub
validation_08,phase2_validation,0.0042447431931197,-0.0008398559478993,0.010928888105964,True,7,2.3264279391810305e-09,1.920046723183266,0.3754793883688912,-0.03323519687894696,0.31698965084213165,0.486837456190599,0.10402756476532914,-0.14830903840762813,1.959752394577569,0.36838230659654136,-0.02927842147128934,0.3313090130720643,0.4875055483275715,0.11618445795928124,-0.14584241064781867,2.6290081223123707e-11,-2.3264279391810305e-09,-8.781864124784988e-12,9.414691248821327e-12,-4.307665335545607e-12,1.4432899320127035e-12,-2.3003821070233244e-11
corridor_x_m3p0pct,corridor,-0.03,0.0,0.0,True,6,2.5878188480987774e-10,1.9530601347434726,0.37860246367271755,-0.03367988669517829,0.31762567224795535,0.4885732458103823,0.10404977135538165,-0.14973122932295657,1.956758801234429,0.36535851168939215,-0.03026657953091011,0.3135733868934292,0.48407950685524004,0.1166240831146353,-0.14552982162463735,-1.7674750552032492e-11,-2.5878188480987774e-10,-1.9106938253798944e-11,-4.957145804951324e-11,9.836575998178887e-11,-8.85957973650875e-12,1.4170886686315498e-10
corridor_x_m5p0pct,corridor,-0.05,0.0,0.0,True,6,2.252309450057055e-09,1.9724162464336157,0.38040857449657345,-0.033943521775033014,0.3180152872431681,0.48962422922783333,0.10402939747571775,-0.15055848496089108,1.9579888216802417,0.36371470167093595,-0.030802117205161406,0.30357338688128077,0.4816611246394778,0.11675142190082766,-0.14522585478485908,2.3647750424515834e-11,-2.252309450057055e-09,-6.672440377997191e-12,-3.799183190267286e-11,2.1671553440683056e-11,-4.3298697960381105e-13,6.992184609089236e-11
corridor_x_m8p0pct,corridor,-0.08,0.0,0.0,True,6,1.3315348823539352e-09,2.0021879992350837,0.3832190061367816,-0.03434230517591557,0.31855142404282544,0.4911346499233074,0.10406488530498757,-0.15183360857953057,1.9598916218074613,0.3611058778514857,-0.03157873428688532,0.28857338686259637,0.4782350831671464,0.11688970063583026,-0.14483623042994034,1.658673198789984e-11,-1.3315348823539352e-09,-3.630429290524262e-12,-3.1374902675906924e-11,4.1810999107383395e-11,-1.1657341758564144e-12,6.785683126508957e-11
corridor_x_p3p0pct,corridor,0.03,0.0,0.0,True,6,1.3407830401490628e-09,1.896595892935656,0.37321859600683455,-0.03291914770786474,0.3165593904599727,0.48565262049975405,0.10398271200673077,-0.1472850907065485,1.9532451703705027,0.37032517890847955,-0.028737463218983322,0.34357338692844996,0.4913346535025306,0.11637473248431017,-0.14645283520415195,1.2434497875801753e-12,-1.3407830401490628e-09,-1.3877787807814457e-11,-2.297051437949449e-11,-1.3111733920823099e-11,-6.672440377997191e-12,-7.454037387333301e-11
corridor_x_p5p0pct,corridor,0.05,0.0,0.0,True,5,8.700151710172577e-10,1.8782934981473889,0.37143181815538306,-0.03267554989817635,0.31624094651197204,0.4847597285281813,0.10391457783078996,-0.14648073341986034,1.9521303008252222,0.37197920449325533,-0.02823858702822929,0.35357338693966434,0.4939545675696061,0.11631577275518039,-0.14682425513440686,-5.111466805374221e-11,8.700151710172577e-10,1.3322676295501878e-13,-4.8405723873656825e-12,6.661338147750939e-12,-2.020605904817785e-12,1.554312234475219e-11
corridor_x_p8p0pct,corridor,0.08,0.0,0.0,True,6,9.336753592492641e-10,1.851282015788713,0.3687425671928612,-0.03232029945439727,0.31581235382391337,0.483518908207056,0.10375131077514091,-0.1452805305770311,1.9505083538994892,0.37449548668432797,-0.027523246674885204,0.368573386956071,0.4975821408932513,0.1162602966995616,-0.1472864394500178,3.157474282033945e-11,9.336753592492641e-10,3.907985046680551e-12,1.5121237595394632e-11,1.8340884366807586e-11,-1.1324274851176597e-12,8.65529869997772e-11
corridor_y_m3p0pct,corridor,0.0,-0.03,0.0,True,6,2.3229085321929688e-09,1.9152299560792465,0.3698608818199432,-0.0348305080386894,0.32919051470107435,0.5077928212436332,0.09057604243294758,-0.14776033464590968,2.011000819561278,0.3958708963291037,-0.029732785031637593,0.358573386911202,0.5100771156746935,0.12350655345935573,-0.15601614291568022,2.220446049250313e-12,-2.3229085321929688e-09,-4.2299497238218464e-12,2.6201263381153694e-11,4.4919623576333834e-11,-2.609024107869118e-12,1.249000902703301e-10
corridor_y_m5p0pct,corridor,0.0,-0.05,0.0,True,5,2.793099085351969e-10,1.9107377641388552,0.3667467370862634,-0.035924076427904905,0.3374543890432177,0.5222790660103207,0.08213239692219601,-0.14737116758497462,2.049382039038964,0.4156964592733343,-0.029905737324174703,0.3785733869112023,0.5255950682258399,0.12851141827595555,-0.1631155900153551,3.064215547965432e-12,-2.793099085351969e-10,5.508926648190027e-11,-8.008038676621254e-11,1.4908074774666602e-10,-3.502753642692369e-11,2.781330721290942e-10
corridor_y_m8p0pct,corridor,0.0,-0.08,0.0,True,7,6.961986542819432e-10,1.9068067153587756,0.363558417955744,-0.0376640331638251,0.3499724501507937,0.544817876310481,0.0703750721055271,-0.14698162265532028,2.108530413545966,0.44698826307585754,-0.03009137277837476,0.408573386911202,0.54977889038347,0.13635818826004356,-0.17441118736109879,-4.130029651605582e-12,-6.961986542819432e-10,-1.1168843627729075e-11,3.3306690738754696e-13,-8.826273045769994e-12,2.7755575615628914e-12,-5.193623309196482e-11
