n_fixed,n_fit,fixed,max_pct,rms_pct,cost,z_h_Q,z_h_u0,z_h_u1,z_a_d0,z_a_d1,z_h_d0,z_h_d1,err_ct,err_ut,err_sb,err_db,err_Vus,err_Vcb,err_Vub
3,4,a_d1+h_d0+h_d1,3.8279978090826727,2.1965145853668875,0.003407598610928948,1.8189132359953826,0.3965278659374074,-0.03399142715861259,0.33370738296843483,0.4879086120301992,0.1164961864166585,-0.1460540432730433,3.2368130330263645,-1.5814121967656858,-3.8279978090826727,-1.0332048750481437,1.3878042151862946,1.1914228133329985,1.3146644892418458
4,3,h_Q+h_u0+h_u1+a_d0,20.221382336170578,8.940647939151209,0.06789982989165826,1.9549696069007172,0.36788041717478503,-0.029519572521720966,0.3285733869112018,0.4831666788580108,0.09144046634108047,-0.14395709321922975,-11.70301494406677,-20.221382336170578,0.6797447841446091,-1.4698531622793776,-0.05016697878621468,1.625189762147139,2.9008889770752555
4,3,h_Q+h_u0+h_u1+a_d1,20.221382336170578,8.835189823714327,0.06658450527183746,1.9549696069007172,0.36788041717478503,-0.029519572521720966,0.31448113295746205,0.4879086120301992,0.09713281193470254,-0.147325397311153,-11.70301494406677,-20.221382336170578,0.5791141280958589,0.056093352928776596,0.44905738368214987,0.04638680555546504,-0.12987791822509642
4,3,h_Q+h_u0+h_u1+h_d0,20.221382336170578,9.236957048189542,0.07166368409372341,1.9549696069007172,0.36788041717478503,-0.029519572521720966,0.29880373239721475,0.4848726536162557,0.1164961864166585,-0.15628572383096836,-11.70301494406677,-20.221382336170578,0.7759597014412867,1.4658665674494475,-0.26596816782937793,-6.902008836716078,-0.9619890351845628
4,3,h_Q+h_u0+h_u1+h_d1,20.221382336170578,8.839290970738771,0.06663566499142747,1.9549696069007172,0.36788041717478503,-0.029519572521720966,0.3167958740068475,0.48640600579267684,0.09545649671959171,-0.1460540432730433,-11.70301494406677,-20.221382336170578,0.22705766290456175,-0.6186112968569746,0.6159705599486642,0.4840595253680302,0.13646690932394012
4,3,h_Q+h_u0+a_d0+a_d1,3.015745568853312,1.5972899057937502,0.0017853807120687911,1.9549696069007172,0.36788041717478503,-0.03312545591890765,0.3285733869112018,0.4879086120301992,0.08981032210709289,-0.1438096551838651,-0.922768840757382,0.4591725123408219,1.0840111232350402,-0.22498116555567105,0.47452617899546023,2.5002820844316043,3.015745568853312
4,3,h_Q+h_u0+a_d0+h_d0,8.60164539411139,4.707040303912198,0.015507168967066455,1.9549696069007172,0.36788041717478503,-0.03312113494577007,0.3285733869112018,0.4701563347368377,0.1164961864166585,-0.15405577015218566,-0.9356858573030369,0.4329660462797147,1.6136155204913294,-1.06033304039177,-2.038156323992246,-8.60164539411139,8.494715148032018
4,3,h_Q+h_u0+a_d0+h_d1,3.556153432138176,1.6272915609901926,0.0018511381467435483,1.9549696069007172,0.36788041717478503,-0.03312490544106969,0.3285733869112018,0.48295156784250676,0.09422564706405918,-0.1460540432730433,-0.924414426268616,0.45583370429922443,1.5800435668231305,-0.8725227229502308,-1.0520033064444378,0.6807691304831609,3.556153432138176
4,3,h_Q+h_u0+a_d1+h_d0,6.6912955170962185,2.7741303231110925,0.005373804503011738,1.9549696069007172,0.36788041717478503,-0.03312524789666122,0.2970585853476313,0.4879086120301992,0.1164961864166585,-0.15676581490450694,-0.9233906975888106,0.4579107942244587,1.0009404705423997,2.3657552943375793,0.026297904480787615,-6.6912955170962185,-1.198104109091691
4,3,h_Q+h_u0+a_d1+h_d1,0.9203993327248527,0.580129136328108,0.00023625894574501636,1.9549696069007172,0.36788041717478503,-0.03312624856183321,0.316218630190935,0.4879086120301992,0.09506403318091146,-0.1460540432730433,-0.9203993327248527,0.4639802191130693,0.30417978786223543,-0.24788624521805414,0.8054408097979637,0.6990104307043499,0.045964269550480275
4,3,h_Q+h_u0+h_d0+h_d1,9.735363298455201,5.404918862524722,0.020877335617029785,1.9549696069007172,0.36788041717478503,-0.03312319550056821,0.3093158524994467,0.464865487986011,0.1164961864166585,-0.1460540432730433,-0.9295260824133345,0.4454627715940518,-6.505599795297867,-5.04492036164822,5.987166581611025,-9.735363298455201,2.2432269554695017
4,3,h_Q+h_u1+a_d0+a_d1,20.116617895759724,8.941691111043717,0.06772882722208988,1.9549696069007172,0.35303674379466277,-0.029519572521720966,0.3285733869112018,0.4879086120301992,0.08021190735521566,-0.14071971759722435,-11.66467779808661,-20.116617895759724,1.4319813477598142,-2.0403189129078014,0.2923910128511009,1.620783714191365,3.1635346656496477
4,3,h_Q+h_u1+a_d0+h_d0,20.450850437854307,9.003947343509648,0.06910959895913743,1.9549696069007172,0.3985538530408496,-0.029519572521720966,0.3285733869112018,0.47255016123661303,0.1164961864166585,-0.15124089924149955,-11.787109101647776,-20.450850437854307,-0.7349088281291105,-0.49662126252105754,-0.9919753289130528,0.8707163452043032,2.7920179218979158
4,3,h_Q+h_u1+a_d0+h_d1,20.263758386092146,8.950103379831392,0.0680923167090878,1.9549696069007172,0.3737247353255556,-0.029519572521720966,0.3285733869112018,0.48116579383279284,0.09702430732824774,-0.1460540432730433,-11.718531900699825,-20.263758386092146,0.7325642314112812,-1.043408080279118,-0.5837827500667303,1.235587367495028,3.0485620401956792
4,3,h_Q+h_u1+a_d1+h_d0,20.358422444328617,8.987213634795985,0.06869789326935004,1.9549696069007172,0.3864766768414501,-0.029519572521720966,0.30774944478370214,0.4879086120301992,0.1164961864166585,-0.15483532586397372,-11.753216181561942,-20.358422444328617,0.3478683974547092,3.1767645893163943,0.3995130122650403,-1.2848054603537329,-0.8737425216624684
